id,flock,year,sex,birth_type,dam_age,cg,wwt,fat,fec,nlb1,lambing1_year
W2200313,F2,2022,F,2,2-5,F2-2022-F,31.32,2.83,NA,NA,NA
W2200314,F1,2022,F,3,2-5,F1-2022-F,32.19,1.26,5.688,1,F1-2023
M2200315,F1,2022,M,3,2-5,F1-2022-M,28.86,NA,NA,NA,NA
W2200316,F1,2022,F,3,2-5,F1-2022-F,26.9,NA,NA,NA,NA
M2200317,F2,2022,M,1,2-5,F2-2022-M,27.96,NA,NA,NA,NA
W2200318,F1,2022,F,1,2-5,F1-2022-F,28.75,3.86,8.321,2,F1-2023
M2200319,F2,2022,M,1,2-5,F2-2022-M,37.69,2.74,7.963,NA,NA
M2200320,F1,2022,M,2,2-5,F1-2022-M,31.43,NA,NA,NA,NA
W2200321,F1,2022,F,2,2-5,F1-2022-F,27.0,2.73,4.923,NA,NA
M2200322,F2,2022,M,2,2-5,F2-2022-M,26.01,1.65,NA,NA,NA
M2200323,F2,2022,M,2,2-5,F2-2022-M,21.7,1.57,NA,NA,NA
M2200324,F1,2022,M,1,2-5,F1-2022-M,35.13,3.49,5.165,NA,NA
M2200325,F2,2022,M,1,2-5,F2-2022-M,35.6,2.18,NA,NA,NA
M2200326,F1,2022,M,1,2-5,F1-2022-M,32.66,3.01,NA,NA,NA
W2200327,F2,2022,F,1,2-5,F2-2022-F,32.55,1.74,NA,3,F2-2023
W2200328,F1,2022,F,3,2-5,F1-2022-F,20.93,3.31,6.223,NA,NA
W2200329,F1,2022,F,3,2-5,F1-2022-F,22.05,NA,6.013,2,F1-2023
M2200330,F1,2022,M,3,2-5,F1-2022-M,23.19,NA,NA,NA,NA
W2200331,F2,2022,F,2,2-5,F2-2022-F,22.91,2.4,6.413,1,F2-2023
M2200332,F2,2022,M,2,2-5,F2-2022-M,28.53,NA,NA,NA,NA
W2200333,F2,2022,F,1,2-5,F2-2022-F,37.68,NA,6.155,NA,NA
M2200334,F2,2022,M,1,2-5,F2-2022-M,29.8,NA,NA,NA,NA
M2200335,F1,2022,M,1,2-5,F1-2022-M,30.55,2.58,NA,NA,NA
M2200336,F1,2022,M,2,2-5,F1-2022-M,28.96,3.16,NA,NA,NA
M2200337,F1,2022,M,2,2-5,F1-2022-M,28.34,2.79,NA,NA,NA
W2200338,F2,2022,F,1,2-5,F2-2022-F,26.86,3.99,3.646,1,F2-2023
W2200339,F2,2022,F,2,2-5,F2-2022-F,25.76,NA,5.868,NA,NA
M2200340,F2,2022,M,2,2-5,F2-2022-M,27.4,2.09,NA,NA,NA
M2200341,F1,2022,M,1,2-5,F1-2022-M,23.88,NA,NA,NA,NA
M2200342,F2,2022,M,2,2-5,F2-2022-M,28.65,NA,3.9,NA,NA
W2200343,F2,2022,F,2,2-5,F2-2022-F,30.22,2.45,NA,2,F2-2023
W2200344,F1,2022,F,3,2-5,F1-2022-F,20.94,0.2,NA,NA,NA
W2200345,F1,2022,F,3,2-5,F1-2022-F,27.32,NA,NA,NA,NA
W2200346,F1,2022,F,3,2-5,F1-2022-F,22.92,3.45,NA,1,F1-2023
M2200347,F2,2022,M,3,2-5,F2-2022-M,27.38,3.38,NA,NA,NA
M2200348,F2,2022,M,3,2-5,F2-2022-M,31.21,1.1,NA,NA,NA
W2200349,F2,2022,F,3,2-5,F2-2022-F,30.59,2.03,NA,2,F2-2023
W2200350,F1,2022,F,1,2-5,F1-2022-F,33.79,3.57,NA,NA,NA
M2200351,F2,2022,M,1,2-5,F2-2022-M,29.83,NA,4.972,NA,NA
M2200352,F1,2022,M,2,2-5,F1-2022-M,34.34,NA,5.557,NA,NA
W2200353,F1,2022,F,2,2-5,F1-2022-F,27.42,NA,5.204,2,F1-2023
M2200354,F2,2022,M,2,2-5,F2-2022-M,31.78,NA,NA,NA,NA
W2200355,F2,2022,F,2,2-5,F2-2022-F,30.17,1.33,NA,NA,NA
M2200356,F1,2022,M,2,2-5,F1-2022-M,32.8,NA,NA,NA,NA
M2200357,F1,2022,M,2,2-5,F1-2022-M,32.44,3.33,NA,NA,NA
M2200358,F2,2022,M,1,2-5,F2-2022-M,24.42,1.41,NA,NA,NA
M2200359,F1,2022,M,2,2-5,F1-2022-M,36.45,2.71,4.861,NA,NA
W2200360,F1,2022,F,2,2-5,F1-2022-F,20.6,1.54,4.747,NA,NA
M2200361,F2,2022,M,2,2-5,F2-2022-M,23.38,NA,2.756,NA,NA
W2200362,F2,2022,F,2,2-5,F2-2022-F,32.34,5.27,5.002,1,F2-2023
M2200363,F1,2022,M,2,2-5,F1-2022-M,26.66,NA,3.043,NA,NA
M2200364,F1,2022,M,2,2-5,F1-2022-M,37.43,3.04,NA,NA,NA
M2200365,F2,2022,M,1,2-5,F2-2022-M,34.54,NA,5.491,NA,NA
M2200366,F1,2022,M,2,2-5,F1-2022-M,25.15,2.82,6.663,NA,NA
W2200367,F1,2022,F,2,2-5,F1-2022-F,27.65,4.01,5.654,NA,NA
W2200368,F2,2022,F,1,2-5,F2-2022-F,34.43,NA,5.242,NA,NA
W2200369,F1,2022,F,1,2-5,F1-2022-F,29.01,3.32,6.014,1,F1-2023
M2200370,F2,2022,M,1,2-5,F2-2022-M,28.97,NA,6.846,NA,NA
M2200371,F2,2022,M,1,2-5,F2-2022-M,38.71,1.65,NA,NA,NA
M2200372,F1,2022,M,2,2-5,F1-2022-M,30.42,NA,NA,NA,NA
W2200373,F1,2022,F,2,2-5,F1-2022-F,28.48,3.41,NA,NA,NA
M2200374,F2,2022,M,2,2-5,F2-2022-M,26.86,3.07,NA,NA,NA
W2200375,F2,2022,F,2,2-5,F2-2022-F,30.57,NA,5.457,2,F2-2023
M2200376,F1,2022,M,2,2-5,F1-2022-M,24.69,1.04,NA,NA,NA
W2200377,F1,2022,F,2,2-5,F1-2022-F,28.51,NA,5.953,NA,NA
M2200378,F2,2022,M,3,2-5,F2-2022-M,34.22,NA,NA,NA,NA
W2200379,F2,2022,F,3,2-5,F2-2022-F,22.04,NA,NA,NA,NA
M2200380,F2,2022,M,3,2-5,F2-2022-M,29.81,1.98,NA,NA,NA
M2200381,F1,2022,M,1,2-5,F1-2022-M,40.1,NA,NA,NA,NA
W2200382,F2,2022,F,2,2-5,F2-2022-F,28.79,NA,NA,NA,NA
W2200383,F2,2022,F,2,2-5,F2-2022-F,34.31,3.44,5.68,NA,NA
M2200384,F1,2022,M,1,2-5,F1-2022-M,28.77,2.42,3.198,NA,NA
W2200385,F2,2022,F,2,2-5,F2-2022-F,30.68,3.1,NA,3,F2-2023
M2200386,F2,2022,M,2,2-5,F2-2022-M,29.82,NA,NA,NA,NA
M2200387,F1,2022,M,1,2-5,F1-2022-M,33.42,NA,NA,NA,NA
W2200388,F2,2022,F,1,2-5,F2-2022-F,31.35,NA,7.944,1,F2-2023
M2200389,F1,2022,M,1,2-5,F1-2022-M,35.72,3.38,NA,NA,NA
M2200390,F2,2022,M,1,2-5,F2-2022-M,34.26,3.42,7.304,NA,NA
W2200391,F1,2022,F,2,2-5,F1-2022-F,21.94,1.41,NA,NA,NA
M2200392,F1,2022,M,2,2-5,F1-2022-M,37.57,3.45,NA,NA,NA
M2200393,F2,2022,M,3,2-5,F2-2022-M,29.59,NA,NA,NA,NA
M2200394,F2,2022,M,3,2-5,F2-2022-M,29.42,2.85,5.295,NA,NA
W2200395,F2,2022,F,3,2-5,F2-2022-F,29.07,NA,4.871,1,F2-2023
W2200396,F1,2022,F,1,2-5,F1-2022-F,27.76,2.99,NA,NA,NA
W2200397,F2,2022,F,3,2-5,F2-2022-F,21.53,3.11,5.572,1,F2-2023
M2200398,F2,2022,M,3,2-5,F2-2022-M,21.31,1.45,NA,NA,NA
W2200399,F2,2022,F,3,2-5,F2-2022-F,26.23,NA,NA,NA,NA
W2200400,F2,2022,F,3,2-5,F2-2022-F,28.93,NA,NA,1,F2-2023
M2200401,F2,2022,M,3,2-5,F2-2022-M,22.43,NA,NA,NA,NA
W2200402,F2,2022,F,3,2-5,F2-2022-F,22.1,1.95,NA,1,F2-2023
M2200403,F1,2022,M,2,2-5,F1-2022-M,28.44,2.4,NA,NA,NA
M2200404,F1,2022,M,2,2-5,F1-2022-M,34.56,1.69,NA,NA,NA
M2200405,F1,2022,M,1,2-5,F1-2022-M,37.78,4.1,5.449,NA,NA
W2200406,F1,2022,F,1,2-5,F1-2022-F,26.13,2.36,NA,2,F1-2023
W2200407,F2,2022,F,2,2-5,F2-2022-F,25.54,2.37,NA,NA,NA
M2200408,F2,2022,M,2,2-5,F2-2022-M,30.51,2.48,NA,NA,NA
W2200409,F1,2022,F,2,2-5,F1-2022-F,31.69,2.65,NA,NA,NA
W2200410,F1,2022,F,2,2-5,F1-2022-F,28.34,NA,5.989,2,F1-2023
W2200411,F1,2022,F,1,2-5,F1-2022-F,24.0,3.36,6.979,1,F1-2023
M2200412,F2,2022,M,2,2-5,F2-2022-M,22.63,NA,6.875,NA,NA
W2200413,F2,2022,F,2,2-5,F2-2022-F,38.27,2.65,7.526,2,F2-2023
M2200414,F1,2022,M,2,2-5,F1-2022-M,27.07,1.07,NA,NA,NA
W2200415,F1,2022,F,2,2-5,F1-2022-F,30.17,NA,NA,2,F1-2023
M2200416,F1,2022,M,2,2-5,F1-2022-M,25.33,NA,4.337,NA,NA
M2200417,F1,2022,M,2,2-5,F1-2022-M,33.83,NA,NA,NA,NA
M2200418,F2,2022,M,1,2-5,F2-2022-M,26.62,NA,NA,NA,NA
M2200419,F2,2022,M,3,2-5,F2-2022-M,24.47,NA,NA,NA,NA
W2200420,F2,2022,F,3,2-5,F2-2022-F,29.45,NA,NA,NA,NA
M2200421,F2,2022,M,3,2-5,F2-2022-M,25.45,2.73,NA,NA,NA
M2200422,F1,2022,M,2,2-5,F1-2022-M,31.85,NA,3.408,NA,NA
M2200423,F1,2022,M,2,2-5,F1-2022-M,36.93,NA,3.52,NA,NA
M2200424,F2,2022,M,2,2-5,F2-2022-M,23.86,2.22,5.805,NA,NA
W2200425,F2,2022,F,2,2-5,F2-2022-F,27.84,NA,NA,1,F2-2023
M2200426,F1,2022,M,2,2-5,F1-2022-M,30.62,3.08,5.601,NA,NA
W2200427,F1,2022,F,2,2-5,F1-2022-F,22.01,2.15,NA,NA,NA
W2200428,F2,2022,F,2,2-5,F2-2022-F,33.74,3.8,NA,NA,NA
M2200429,F2,2022,M,2,2-5,F2-2022-M,32.15,1.59,7.072,NA,NA
M2200430,F2,2022,M,1,2-5,F2-2022-M,36.15,3.77,7.425,NA,NA
M2200431,F1,2022,M,1,2-5,F1-2022-M,31.14,NA,4.928,NA,NA
W2200432,F2,2022,F,2,2-5,F2-2022-F,31.15,2.66,6.171,NA,NA
W2200433,F2,2022,F,2,2-5,F2-2022-F,28.95,1.98,5.255,1,F2-2023
M2200434,F1,2022,M,2,2-5,F1-2022-M,32.51,NA,NA,NA,NA
W2200435,F1,2022,F,2,2-5,F1-2022-F,22.44,NA,5.281,NA,NA
W2200436,F2,2022,F,1,2-5,F2-2022-F,31.55,3.73,NA,NA,NA
W2200437,F1,2022,F,1,2-5,F1-2022-F,32.02,2.97,6.79,2,F1-2023
W2200438,F2,2022,F,1,2-5,F2-2022-F,30.92,2.62,7.953,1,F2-2023
M2200439,F1,2022,M,1,2-5,F1-2022-M,43.58,3.42,7.206,NA,NA
W2200440,F1,2022,F,1,2-5,F1-2022-F,26.91,2.37,NA,1,F1-2023
M2200441,F2,2022,M,1,2-5,F2-2022-M,28.96,NA,NA,NA,NA
W2200442,F1,2022,F,1,2-5,F1-2022-F,22.15,NA,NA,1,F1-2023
M2200443,F1,2022,M,2,2-5,F1-2022-M,27.63,NA,NA,NA,NA
M2200444,F1,2022,M,2,2-5,F1-2022-M,33.81,4.33,NA,NA,NA
W2200445,F2,2022,F,3,2-5,F2-2022-F,24.75,2.95,NA,NA,NA
W2200446,F2,2022,F,3,2-5,F2-2022-F,24.22,NA,6.827,NA,NA
W2200447,F2,2022,F,3,2-5,F2-2022-F,25.88,2.99,7.44,NA,NA
W2200448,F1,2022,F,1,2-5,F1-2022-F,31.27,NA,5.087,2,F1-2023
W2200449,F1,2022,F,2,2-5,F1-2022-F,22.28,4.33,NA,NA,NA
W2200450,F1,2022,F,2,2-5,F1-2022-F,25.29,NA,5.218,2,F1-2023
W2200451,F2,2022,F,1,2-5,F2-2022-F,27.61,2.08,NA,1,F2-2023
W2200452,F1,2022,F,1,2-5,F1-2022-F,35.82,3.59,6.395,NA,NA
W2200453,F2,2022,F,1,2-5,F2-2022-F,27.98,2.71,7.217,NA,NA
M2200454,F1,2022,M,2,2-5,F1-2022-M,31.3,2.79,4.316,NA,NA
M2200455,F1,2022,M,2,2-5,F1-2022-M,30.38,2.27,NA,NA,NA
M2200456,F2,2022,M,1,2-5,F2-2022-M,25.85,0.74,NA,NA,NA
W2200457,F1,2022,F,1,2-5,F1-2022-F,31.8,2.85,6.35,NA,NA
W2200458,F2,2022,F,2,2-5,F2-2022-F,38.0,1.93,NA,2,F2-2023
W2200459,F2,2022,F,2,2-5,F2-2022-F,26.14,NA,NA,NA,NA
W2200460,F1,2022,F,2,2-5,F1-2022-F,33.72,3.18,NA,NA,NA
W2200461,F1,2022,F,2,2-5,F1-2022-F,277.6,2.23,NA,NA,NA
W2200462,F2,2022,F,3,2-5,F2-2022-F,21.1,3.16,NA,NA,NA
M2200463,F2,2022,M,3,2-5,F2-2022-M,19.06,2.29,NA,NA,NA
M2200464,F2,2022,M,3,2-5,F2-2022-M,26.21,3.62,5.214,NA,NA
M2200465,F1,2022,M,1,2-5,F1-2022-M,33.37,3.4,NA,NA,NA
W2200466,F2,2022,F,1,2-5,F2-2022-F,31.96,NA,7.062,NA,NA
W2200467,F1,2022,F,1,2-5,F1-2022-F,25.35,4.02,NA,NA,NA
M2200468,F1,2022,M,1,2-5,F1-2022-M,31.67,2.03,NA,NA,NA
W2200469,F2,2022,F,1,2-5,F2-2022-F,37.84,2.64,5.416,1,F2-2023
M2200470,F1,2022,M,2,2-5,F1-2022-M,29.28,2.22,4.229,NA,NA
M2200471,F1,2022,M,2,2-5,F1-2022-M,27.98,2.14,NA,NA,NA
W2200472,F2,2022,F,2,2-5,F2-2022-F,27.6,NA,6.372,NA,NA
M2200473,F2,2022,M,2,2-5,F2-2022-M,25.72,2.12,6.406,NA,NA
M2200474,F2,2022,M,2,2-5,F2-2022-M,35.37,3.94,NA,NA,NA
M2200475,F2,2022,M,2,2-5,F2-2022-M,29.7,NA,NA,NA,NA
W2200476,F1,2022,F,2,2-5,F1-2022-F,20.65,2.83,4.067,NA,NA
W2200477,F1,2022,F,2,2-5,F1-2022-F,32.28,2.31,NA,NA,NA
W2200478,F2,2022,F,1,2-5,F2-2022-F,24.13,NA,5.815,NA,NA
M2200479,F1,2022,M,2,2-5,F1-2022-M,36.51,NA,NA,NA,NA
M2200480,F1,2022,M,2,2-5,F1-2022-M,32.68,NA,7.119,NA,NA
M2200481,F2,2022,M,3,2-5,F2-2022-M,27.1,NA,NA,NA,NA
W2200482,F2,2022,F,3,2-5,F2-2022-F,27.46,NA,5.92,NA,NA
M2200483,F2,2022,M,3,2-5,F2-2022-M,29.04,3.73,7.336,NA,NA
W2200484,F1,2022,F,1,2-5,F1-2022-F,30.84,2.41,NA,NA,NA
W2200485,F2,2022,F,3,2-5,F2-2022-F,31.21,2.57,7.907,NA,NA
M2200486,F2,2022,M,3,2-5,F2-2022-M,31.34,3.45,NA,NA,NA
W2200487,F2,2022,F,3,2-5,F2-2022-F,28.06,NA,NA,NA,NA
W2200488,F1,2022,F,2,2-5,F1-2022-F,24.21,3.26,NA,NA,NA
M2200489,F1,2022,M,2,2-5,F1-2022-M,23.83,3.21,NA,NA,NA
M2200490,F2,2022,M,2,2-5,F2-2022-M,30.39,3.51,NA,NA,NA
M2200491,F2,2022,M,2,2-5,F2-2022-M,29.05,NA,7.214,NA,NA
M2200492,F2,2022,M,2,2-5,F2-2022-M,33.29,3.29,6.07,NA,NA
W2200493,F2,2022,F,2,2-5,F2-2022-F,31.45,4.72,NA,NA,NA
M2200494,F1,2022,M,1,2-5,F1-2022-M,39.58,NA,NA,NA,NA
W2200495,F2,2022,F,2,2-5,F2-2022-F,33.68,5.22,NA,NA,NA
W2200496,F2,2022,F,2,2-5,F2-2022-F,34.92,NA,8.167,2,F2-2023
M2200497,F1,2022,M,1,2-5,F1-2022-M,30.74,1.94,NA,NA,NA
W2200498,F2,2022,F,3,2-5,F2-2022-F,22.92,2.01,NA,NA,NA
M2200499,F2,2022,M,3,2-5,F2-2022-M,30.51,1.4,5.628,NA,NA
W2200500,F2,2022,F,3,2-5,F2-2022-F,27.54,NA,5.7,NA,NA
W2200501,F1,2022,F,3,2-5,F1-2022-F,22.62,NA,NA,NA,NA
W2200502,F1,2022,F,3,2-5,F1-2022-F,21.41,3.6,NA,1,F1-2023
W2200503,F1,2022,F,3,2-5,F1-2022-F,20.88,3.31,5.272,NA,NA
W2200504,F2,2022,F,2,2-5,F2-2022-F,29.15,2.26,NA,NA,NA
W2200505,F2,2022,F,2,2-5,F2-2022-F,31.37,NA,NA,NA,NA
M2200506,F1,2022,M,1,2-5,F1-2022-M,36.82,2.48,4.931,NA,NA
W2200507,F2,2022,F,1,2-5,F2-2022-F,38.39,2.56,6.45,1,F2-2023
W2200508,F1,2022,F,1,2-5,F1-2022-F,31.42,NA,4.043,NA,NA
M2200509,F2,2022,M,2,2-5,F2-2022-M,30.34,3.53,NA,NA,NA
M2200510,F2,2022,M,2,2-5,F2-2022-M,33.33,NA,NA,NA,NA
W2200511,F1,2022,F,2,2-5,F1-2022-F,27.49,2.52,NA,1,F1-2023
M2200512,F1,2022,M,2,2-5,F1-2022-M,29.37,NA,5.737,NA,NA
M2200513,F2,2022,M,1,2-5,F2-2022-M,35.4,2.22,5.669,NA,NA
W2200514,F1,2022,F,2,2-5,F1-2022-F,28.69,2.24,5.328,NA,NA
M2200515,F1,2022,M,2,2-5,F1-2022-M,35.53,2.91,4.632,NA,NA
M2200516,F2,2022,M,1,2-5,F2-2022-M,29.82,2.42,NA,NA,NA
M2200517,F1,2022,M,2,2-5,F1-2022-M,23.96,NA,6.047,NA,NA
W2200518,F1,2022,F,2,2-5,F1-2022-F,23.14,NA,NA,NA,NA
W2200519,F2,2022,F,2,2-5,F2-2022-F,30.91,2.37,NA,2,F2-2023
W2200520,F2,2022,F,2,2-5,F2-2022-F,31.72,3.02,NA,2,F2-2023
M2200521,F1,2022,M,1,2-5,F1-2022-M,32.85,2.87,NA,NA,NA
W2200522,F2,2022,F,1,2-5,F2-2022-F,33.16,NA,NA,NA,NA
M2200523,F1,2022,M,2,2-5,F1-2022-M,23.64,NA,NA,NA,NA
W2200524,F1,2022,F,2,2-5,F1-2022-F,31.58,3.1,6.035,NA,NA
M2200525,F2,2022,M,2,2-5,F2-2022-M,33.77,NA,NA,NA,NA
W2200526,F2,2022,F,2,2-5,F2-2022-F,29.45,1.82,NA,2,F2-2023
W2200527,F1,2022,F,2,2-5,F1-2022-F,23.95,1.39,6.034,NA,NA
M2200528,F1,2022,M,2,2-5,F1-2022-M,27.72,2.47,NA,NA,NA
M2200529,F2,2022,M,1,2-5,F2-2022-M,40.73,4.28,6.93,NA,NA
M2200530,F1,2022,M,1,2-5,F1-2022-M,31.64,NA,NA,NA,NA
W2200531,F2,2022,F,2,2-5,F2-2022-F,33.14,1.32,NA,NA,NA
M2200532,F2,2022,M,2,2-5,F2-2022-M,31.53,2.95,6.675,NA,NA
W2200533,F1,2022,F,2,2-5,F1-2022-F,21.32,NA,5.432,NA,NA
W2200534,F1,2022,F,2,2-5,F1-2022-F,18.36,NA,6.029,NA,NA
W2200535,F2,2022,F,2,2-5,F2-2022-F,29.97,3.43,6.673,NA,NA
M2200536,F2,2022,M,2,2-5,F2-2022-M,27.84,0.65,NA,NA,NA
M2200537,F2,2022,M,2,2-5,F2-2022-M,25.87,NA,NA,NA,NA
W2200538,F2,2022,F,2,2-5,F2-2022-F,27.62,1.47,6.39,1,F2-2023
W2200539,F1,2022,F,1,2-5,F1-2022-F,32.29,NA,NA,NA,NA
M2200540,F2,2022,M,2,2-5,F2-2022-M,32.81,4.0,7.296,NA,NA
W2200541,F2,2022,F,2,2-5,F2-2022-F,28.62,3.36,NA,NA,NA
W2200542,F1,2022,F,1,2-5,F1-2022-F,25.76,2.32,NA,NA,NA
M2200543,F2,2022,M,2,2-5,F2-2022-M,32.23,0.87,NA,NA,NA
W2200544,F2,2022,F,2,2-5,F2-2022-F,31.66,2.14,NA,1,F2-2023
M2200545,F1,2022,M,1,2-5,F1-2022-M,37.8,3.06,NA,NA,NA
W2200546,F2,2022,F,2,2-5,F2-2022-F,27.14,3.07,8.05,NA,NA
W2200547,F2,2022,F,2,2-5,F2-2022-F,31.45,NA,NA,2,F2-2023
W2200548,F1,2022,F,1,2-5,F1-2022-F,33.31,NA,7.397,NA,NA
W2200549,F1,2022,F,2,2-5,F1-2022-F,24.47,NA,6.921,2,F1-2023
M2200550,F1,2022,M,2,2-5,F1-2022-M,33.33,3.4,7.469,NA,NA
W2200551,F2,2022,F,1,2-5,F2-2022-F,32.7,1.49,NA,NA,NA
W2200552,F1,2022,F,2,2-5,F1-2022-F,32.26,2.31,4.85,NA,NA
W2200553,F1,2022,F,2,2-5,F1-2022-F,21.54,NA,NA,NA,NA
M2200554,F2,2022,M,2,2-5,F2-2022-M,29.27,1.87,6.345,NA,NA
W2200555,F2,2022,F,2,2-5,F2-2022-F,26.69,3.25,7.023,NA,NA
M2200556,F1,2022,M,1,2-5,F1-2022-M,32.3,NA,NA,NA,NA
M2200557,F2,2022,M,1,2-5,F2-2022-M,25.29,1.11,NA,NA,NA
W2200558,F1,2022,F,1,2-5,F1-2022-F,27.6,1.54,6.148,NA,NA
W2200559,F2,2022,F,1,2-5,F2-2022-F,29.8,3.15,6.595,NA,NA
M2200560,F1,2022,M,2,2-5,F1-2022-M,26.66,NA,4.213,NA,NA
W2200561,F1,2022,F,2,2-5,F1-2022-F,28.09,NA,7.747,2,F1-2023
M2200562,F2,2022,M,3,2-5,F2-2022-M,23.83,0.72,5.405,NA,NA
W2200563,F2,2022,F,3,2-5,F2-2022-F,25.38,NA,4.406,NA,NA
W2200564,F2,2022,F,3,2-5,F2-2022-F,21.33,NA,NA,1,F2-2023
M2200565,F1,2022,M,1,2-5,F1-2022-M,25.66,NA,4.995,NA,NA
W2200566,F1,2022,F,2,2-5,F1-2022-F,24.35,2.49,5.077,NA,NA
W2200567,F1,2022,F,2,2-5,F1-2022-F,28.46,NA,NA,NA,NA
W2200568,F2,2022,F,1,2-5,F2-2022-F,27.46,1.48,NA,1,F2-2023
W2200569,F1,2022,F,1,2-5,F1-2022-F,29.23,1.9,3.755,2,F1-2023
W2200570,F2,2022,F,1,2-5,F2-2022-F,33.15,3.05,5.895,1,F2-2023
M2200571,F2,2022,M,1,1,F2-2022-M,38.41,2.6,6.335,NA,NA
W2200572,F2,2022,F,1,1,F2-2022-F,28.53,4.07,6.884,NA,NA
M2200573,F2,2022,M,2,1,F2-2022-M,36.41,2.56,5.449,NA,NA
W2200574,F2,2022,F,2,1,F2-2022-F,21.94,NA,NA,1,F2-2023
M2200575,F1,2022,M,2,1,F1-2022-M,25.22,1.88,NA,NA,NA
W2200576,F1,2022,F,2,1,F1-2022-F,23.57,2.99,NA,NA,NA
M2200577,F2,2022,M,3,1,F2-2022-M,28.0,NA,7.905,NA,NA
M2200578,F2,2022,M,3,1,F2-2022-M,21.22,2.72,NA,NA,NA
W2200579,F2,2022,F,3,1,F2-2022-F,26.57,NA,NA,1,F2-2023
M2200580,F1,2022,M,1,1,F1-2022-M,23.54,NA,3.991,NA,NA
W2200581,F1,2022,F,2,1,F1-2022-F,26.1,NA,5.54,NA,NA
W2200582,F1,2022,F,2,1,F1-2022-F,27.53,4.1,4.145,NA,NA
M2200583,F1,2022,M,1,1,F1-2022-M,33.66,2.22,NA,NA,NA
M2200584,F2,2022,M,1,1,F2-2022-M,29.66,2.52,NA,NA,NA
W2200585,F1,2022,F,1,1,F1-2022-F,31.35,NA,3.732,NA,NA
W2200586,F1,2022,F,2,1,F1-2022-F,26.83,2.66,NA,NA,NA
M2200587,F1,2022,M,2,1,F1-2022-M,30.61,NA,NA,NA,NA
M2200588,F2,2022,M,1,1,F2-2022-M,37.54,2.94,5.198,NA,NA
W2200589,F2,2022,F,2,1,F2-2022-F,36.79,NA,NA,NA,NA
W2200590,F2,2022,F,2,1,F2-2022-F,29.97,NA,NA,NA,NA
M2200591,F2,2022,M,2,1,F2-2022-M,29.14,3.26,7.002,NA,NA
M2200592,F2,2022,M,2,1,F2-2022-M,26.49,0.87,5.298,NA,NA
M2200593,F2,2022,M,1,1,F2-2022-M,29.03,NA,NA,NA,NA
W2200594,F2,2022,F,1,1,F2-2022-F,34.27,5.13,6.876,NA,NA
W2200595,F1,2022,F,2,1,F1-2022-F,22.05,2.8,4.462,1,F1-2023
M2200596,F1,2022,M,2,1,F1-2022-M,25.6,3.15,NA,NA,NA
M2200597,F1,2022,M,1,1,F1-2022-M,35.24,3.58,4.073,NA,NA
W2200598,F2,2022,F,1,1,F2-2022-F,35.62,2.67,6.515,NA,NA
M2200599,F2,2022,M,2,1,F2-2022-M,28.26,2.9,NA,NA,NA
W2200600,F2,2022,F,2,1,F2-2022-F,30.03,3.36,NA,NA,NA
W2200601,F1,2022,F,1,1,F1-2022-F,27.86,4.12,NA,NA,NA
W2200602,F1,2022,F,1,1,F1-2022-F,27.81,NA,6.528,NA,NA
W2200603,F1,2022,F,1,1,F1-2022-F,20.2,1.6,NA,2,F1-2023
M2200604,F2,2022,M,1,1,F2-2022-M,36.91,2.89,6.011,NA,NA
W2200605,F1,2022,F,1,1,F1-2022-F,27.96,3.28,6.972,2,F1-2023
W2200606,F2,2022,F,1,1,F2-2022-F,23.05,4.12,7.351,NA,NA
W2200607,F2,2022,F,1,1,F2-2022-F,35.2,2.52,5.891,NA,NA
M2200608,F1,2022,M,1,1,F1-2022-M,30.67,3.04,NA,NA,NA
W2200609,F1,2022,F,1,1,F1-2022-F,29.02,2.06,NA,NA,NA
W2200610,F2,2022,F,2,1,F2-2022-F,32.28,NA,NA,1,F2-2023
M2200611,F2,2022,M,2,1,F2-2022-M,30.51,NA,NA,NA,NA
M2200612,F2,2022,M,2,1,F2-2022-M,27.74,NA,4.032,NA,NA
M2200613,F2,2022,M,2,1,F2-2022-M,28.64,2.81,NA,NA,NA
W2200614,F1,2022,F,1,1,F1-2022-F,25.46,NA,NA,NA,NA
M2200615,F2,2022,M,2,1,F2-2022-M,31.28,2.76,NA,NA,NA
M2200616,F2,2022,M,2,1,F2-2022-M,24.56,NA,7.694,NA,NA
M2200617,F2,2022,M,3,1,F2-2022-M,25.51,NA,6.779,NA,NA
M2200618,F2,2022,M,3,1,F2-2022-M,22.72,1.97,7.131,NA,NA
M2200619,F2,2022,M,3,1,F2-2022-M,22.06,1.52,NA,NA,NA
W2200620,F1,2022,F,1,1,F1-2022-F,29.55,3.37,NA,NA,NA
W2200621,F2,2022,F,1,1,F2-2022-F,31.14,2.6,6.705,NA,NA
M2200622,F1,2022,M,2,1,F1-2022-M,25.25,3.99,NA,NA,NA
M2200623,F1,2022,M,2,1,F1-2022-M,20.38,NA,5.329,NA,NA
W2200624,F2,2022,F,2,1,F2-2022-F,28.47,NA,NA,NA,NA
W2200625,F2,2022,F,2,1,F2-2022-F,32.33,NA,6.589,NA,NA
W2200626,F2,2022,F,2,1,F2-2022-F,24.08,NA,NA,NA,NA
W2200627,F2,2022,F,2,1,F2-2022-F,27.28,1.48,NA,NA,NA
M2200628,F1,2022,M,2,1,F1-2022-M,26.33,2.26,5.148,NA,NA
