id,sex,year,wwt
L230026,M,2023,32.55
L230027,M,2023,38.48
L230028,F,2023,32.56
L230029,F,2023,34.77
L230030,F,2023,41.15
L230031,M,2023,28.97
L230032,M,2023,37.58
L230033,M,2023,40.57
L230034,F,2023,35.26
L230035,M,2023,37.80
L230036,F,2023,37.15
L230037,F,2023,30.91
L230038,F,2023,36.72
L230039,M,2023,33.60
L230040,M,2023,38.98
L230041,M,2023,33.08
L230042,M,2023,40.72
L230043,F,2023,36.62
L230044,F,2023,31.80
L230045,M,2023,36.22
L230046,F,2023,37.77
L230047,F,2023,25.08
L230048,F,2023,36.63
L230049,M,2023,34.96
L230050,M,2023,32.03
L230051,F,2023,33.75
L230052,M,2023,39.20
L230053,F,2023,36.52
L230054,M,2023,35.06
L230055,M,2023,32.52
L230056,M,2023,34.68
L230057,F,2023,39.31
L230058,F,2023,30.11
L230059,M,2023,39.86
L230060,M,2023,35.51
L230061,M,2023,34.76
L230062,M,2023,33.17
L230063,F,2023,40.26
L230064,F,2023,32.10
L230065,M,2023,35.28
L230066,M,2023,40.81
L230067,F,2023,31.67
L230068,M,2023,36.69
L230069,F,2023,35.02
L230070,M,2023,35.43
L230071,F,2023,34.05
L230072,M,2023,32.86
L230073,F,2023,43.90
L230074,M,2023,39.69
L230075,M,2023,39.01
L230076,M,2023,38.12
L230077,F,2023,28.47
L230078,F,2023,32.62
L230079,F,2023,33.32
L230080,F,2023,32.40
L230081,M,2023,31.61
L230082,M,2023,35.19
L230083,M,2023,35.29
L230084,F,2023,37.32
L230085,M,2023,40.58
L230086,F,2023,41.80
L230087,M,2023,31.99
L230088,M,2023,26.58
L230089,F,2023,36.07
L230090,F,2023,34.98
L230091,F,2023,32.43
L230092,M,2023,29.76
L230093,F,2023,34.79
L230094,F,2023,23.68
L230095,M,2023,34.06
L230096,M,2023,42.96
L230097,M,2023,41.32
L230098,F,2023,39.50
L230099,M,2023,34.38
L230100,F,2023,37.87
L230101,M,2023,38.62
L230102,M,2023,37.41
L230103,F,2023,29.31
L230104,F,2023,39.23
L230105,F,2023,38.00
L230106,M,2023,38.78
L230107,F,2023,31.67
L230108,F,2023,34.87
L230109,F,2023,33.15
L230110,M,2023,33.20
L230111,F,2023,37.33
L230112,M,2023,31.40
L230113,M,2023,37.65
L230114,M,2023,33.16
L230115,M,2023,32.87
L230116,M,2023,31.05
L230117,M,2023,40.62
L230118,M,2023,35.83
L230119,M,2023,36.31
L230120,F,2023,26.99
L230121,M,2023,35.47
L230122,M,2023,41.24
L230123,F,2023,38.45
L230124,F,2023,34.15
L230125,M,2023,39.83
L230126,M,2023,22.93
L230127,F,2023,32.70
L230128,F,2023,33.37
L230129,F,2023,31.96
L230130,F,2023,27.77
L230131,F,2023,38.92
L230132,F,2023,25.94
L230133,M,2023,34.14
L230134,M,2023,40.10
L230135,M,2023,29.41
L230136,F,2023,39.85
L230137,F,2023,26.34
L230138,M,2023,29.33
L230139,M,2023,41.60
L230140,M,2023,34.04
L230141,M,2023,41.45
L230142,M,2023,44.95
L230143,M,2023,38.22
L230144,F,2023,34.25
L230145,M,2023,29.05
L230146,F,2023,28.39
L230147,M,2023,33.23
L230148,F,2023,31.41
L230149,F,2023,35.31
L230150,M,2023,35.94
L240001,F,2024,36.43
L240002,M,2024,41.70
L240003,F,2024,29.59
L240004,M,2024,35.99
L240005,F,2024,28.87
L240006,F,2024,29.34
L240007,F,2024,36.58
L240008,M,2024,35.41
L240009,F,2024,24.81
L240010,F,2024,36.47
L240011,M,2024,38.40
L240012,M,2024,29.66
L240013,F,2024,34.47
L240014,M,2024,34.11
L240015,F,2024,28.64
L240016,M,2024,29.80
L240017,M,2024,34.84
L240018,M,2024,28.83
L240019,F,2024,32.10
L240020,F,2024,34.57
L240021,F,2024,27.99
L240022,M,2024,36.57
L240023,M,2024,33.78
L240024,M,2024,36.28
L240025,F,2024,26.86
L240026,F,2024,29.63
L240027,M,2024,36.76
L240028,F,2024,33.01
L240029,M,2024,32.91
L240030,F,2024,38.57
L240031,M,2024,36.39
L240032,F,2024,34.25
L240033,M,2024,36.36
L240034,F,2024,32.08
L240035,M,2024,40.82
L240036,M,2024,29.99
L240037,F,2024,27.65
L240038,M,2024,26.58
L240039,M,2024,39.46
L240040,M,2024,36.97
L240041,M,2024,31.19
L240042,F,2024,28.00
L240043,F,2024,27.29
L240044,F,2024,33.72
L240045,F,2024,23.85
L240046,F,2024,36.33
L240047,M,2024,31.89
L240048,F,2024,36.41
L240049,F,2024,26.12
L240050,F,2024,32.83
L240051,F,2024,34.97
L240052,M,2024,37.35
L240053,F,2024,30.77
L240054,M,2024,33.66
L240055,F,2024,32.75
L240056,F,2024,29.05
L240057,M,2024,30.41
L240058,F,2024,31.93
L240059,F,2024,28.91
L240060,M,2024,35.58
L240061,M,2024,34.17
L240062,F,2024,29.77
L240063,F,2024,30.46
L240064,M,2024,26.52
L240065,F,2024,28.34
L240066,M,2024,35.42
L240067,M,2024,34.66
L240068,M,2024,28.22
L240069,M,2024,40.51
L240070,M,2024,39.04
L240071,F,2024,35.34
L240072,F,2024,29.99
L240073,M,2024,36.81
L240074,F,2024,36.98
L240075,M,2024,34.19
L240076,F,2024,34.24
L240077,M,2024,30.65
L240078,M,2024,36.80
L240079,M,2024,28.74
L240080,M,2024,30.83
L240081,M,2024,36.58
L240082,F,2024,31.95
L240083,M,2024,35.80
L240084,F,2024,30.95
L240085,M,2024,33.82
L240086,F,2024,35.34
L240087,F,2024,32.73
L240088,F,2024,38.32
L240089,M,2024,29.79
L240090,F,2024,30.22
L240091,F,2024,39.26
L240092,M,2024,30.46
L240093,F,2024,40.23
L240094,M,2024,34.05
L240095,M,2024,37.96
L240096,F,2024,33.31
L240097,F,2024,33.87
L240098,M,2024,40.86
L240099,M,2024,28.24
L240100,F,2024,28.70
L240101,M,2024,43.12
L240102,M,2024,35.97
L240103,M,2024,36.13
L240104,M,2024,37.90
L240105,F,2024,33.27
L240106,F,2024,36.02
L240107,M,2024,38.95
L240108,F,2024,36.32
L240109,F,2024,35.76
L240110,F,2024,25.15
L240111,M,2024,24.70
L240112,M,2024,25.47
L240113,M,2024,34.10
L240114,F,2024,38.25
L240115,M,2024,37.87
L240116,F,2024,31.26
L240117,F,2024,28.09
L240118,F,2024,37.27
L240119,M,2024,26.44
L240120,F,2024,19.34
L240121,M,2024,33.76
L240122,F,2024,38.00
L240123,M,2024,36.00
L240124,M,2024,33.64
L240125,M,2024,30.68
L240126,M,2024,36.45
L240127,M,2024,31.63
L240128,F,2024,34.57
L240129,M,2024,34.29
L240130,F,2024,39.84
L240131,M,2024,39.62
L240132,F,2024,37.15
L240133,M,2024,38.57
L240134,M,2024,31.95
L240135,M,2024,39.41
L240136,M,2024,32.13
L240137,M,2024,37.99
L240138,F,2024,35.32
L240139,M,2024,36.99
L240140,M,2024,29.50
L240141,F,2024,40.74
L240142,F,2024,38.06
L240143,M,2024,31.04
L240144,F,2024,40.76
L240145,F,2024,32.04
L240146,M,2024,33.55
L240147,F,2024,28.21
L240148,F,2024,29.59
L240149,F,2024,35.43
L240150,F,2024,29.51
